NIND,ELITIST,PR_CROSS,PR_MUT,Av_Best,Peak_Best,Fit_var,Eff,Eff_Var
200,0,0.5,0,9.69727451298653,8.30210462740428,0.269856614183699,0.00193207046259829,0
200,0,0.5,0.05,9.80123266705135,8.58394135664444,0.264779399681965,0.00194531725592086,0
200,0,0.5,0.1,10.2279590152406,9.56346255384711,0.092696915317799,0.00193052953323024,0
200,0,0.5,0.2,10.3419546938597,9.16190110369608,0.291636874059572,0.00193011655146104,0
200,0,0.7,0,11.378374549252,10.8098121291063,0.0981064001616101,0.00188485871650596,0
200,0,0.7,0.05,11.3204010306425,10.3901417985256,0.1382172315976,0.00188703036046089,0
200,0,0.7,0.1,11.3897293389796,10.5293376141904,0.143399714198851,0.00187959573488615,0
200,0,0.7,0.2,11.4578834240867,10.6306009174227,0.187708378155113,0.00188403330375748,0
200,0,0.9,0,11.9912405684928,11.3115617136398,0.117374628068641,0.00185214817212461,0
200,0,0.9,0.05,12.1975298851221,11.8180590624656,0.0578174782871902,0.00185697333108195,0
200,0,0.9,0.1,12.1260417864219,11.6311028262844,0.0463999875949996,0.00185046519771609,0
200,0,0.9,0.2,12.113885193301,11.3088920447755,0.117207610726124,0.0018514632357327,0
200,0,1,0,12.2190830431966,11.3410312664401,0.117897941525387,0.0018426679238722,0
200,0,1,0.05,12.1121102360157,11.1706906625491,0.132187785809579,0.00184411447172051,0
200,0,1,0.1,12.1659386889364,11.0349974497898,0.247177848313525,0.00185341927736759,0
200,0,1,0.2,12.199275986308,11.3692950050398,0.174211486515687,0.00182985952661736,0
200,0.05,0.5,0,8.62718015753014,7.19921745531331,0.998855158869322,0.00205347889478911,0
200,0.05,0.5,0.05,7.14735376496367,6.59131338152963,0.098974835913449,0.00211573832359369,0
200,0.05,0.5,0.1,6.98819899964523,6.60889710480809,0.0934763827895456,0.00212292699284064,0
200,0.05,0.5,0.2,7.06437256169496,6.42739118848334,0.0714435165424597,0.00211718211842701,0
200,0.05,0.7,0,8.89979431479919,7.39400193167098,0.738218265292397,0.00204832713659417,0
200,0.05,0.7,0.05,7.93690030800316,7.04573266188045,0.23907018273826,0.00207861435277753,0
200,0.05,0.7,0.1,7.92089801411899,7.22170537532056,0.199126958584395,0.00207005399846404,0
200,0.05,0.7,0.2,8.08642009232735,7.25999678177048,0.1648443722667,0.00205634690100964,0
200,0.05,0.9,0,10.07876299748,9.65537138472438,0.0891915054131708,0.00196202428620054,0
200,0.05,0.9,0.05,9.57792769458118,8.44670208456702,0.187418204228052,0.00197980929274177,0
200,0.05,0.9,0.1,9.72991316069014,9.25253875806901,0.192485075041944,0.00196044289281296,0
200,0.05,0.9,0.2,9.54882311716539,8.68853216773712,0.298701282226062,0.00198411628187174,0
200,0.05,1,0,10.636784760049,10.2147565556942,0.116061665569743,0.00194711112952318,0
