NIND,ELITIST,PR_CROSS,PR_MUT,Av_Best,Peak_Best,Fit_var,Eff_1,Eff_2
50,0.1,0.9,0,23.1722622459033,21.911346922901,1.21422215068263e-06,0.00396258948181296,0.000125277745420444
50,0.1,0.9,0.05,21.4563397999595,19.8107898843082,2.70834551263657e-06,0.00397576569312347,0.000149633269413063
50,0.1,0.9,0.1,21.5884889235456,20.6997068561076,1.18108602279729e-06,0.00398067474105539,0.000142669877722542
50,0.1,0.9,0.2,21.6708409172337,20.6975339775105,1.17807805342718e-06,0.00398188304444581,0.000143202013489502
50,0.1,1,0,23.141535176925,22.083158425794,1.84666565970203e-06,0.0039539361318544,0.000122107839442974
50,0.1,1,0.05,22.7119158568461,21.6813175868253,1.05939434322632e-06,0.00393801247560132,0.00012813019564906
50,0.1,1,0.1,22.6051743923632,21.895863622451,6.21344777233339e-07,0.00395732742531551,0.000128419179417145
50,0.1,1,0.2,22.7601900042873,21.8133709683571,1.06936859124643e-06,0.00395556081634331,0.00011903156521645
50,0.2,0.5,0,24.3398102516909,22.9428160000846,2.14352826213136e-06,0.00388950139302476,0.000103425690998855
50,0.2,0.5,0.05,20.4083944539571,19.4804300278759,1.62701215692523e-06,0.00397439942733928,0.000165333294303062
50,0.2,0.5,0.1,20.1978423507012,19.2839793295363,1.67671248453501e-06,0.00400044252821953,0.000173184389644436
50,0.2,0.5,0.2,19.811575758918,18.2739522034934,1.8514978031154e-06,0.0040158266219683,0.000174290383425757
50,0.2,0.7,0,23.4997962409272,21.7901549487371,2.47030870125877e-06,0.00395289645464114,0.000126451532208626
50,0.2,0.7,0.05,20.5800862406326,19.7230291726977,1.46834750739596e-06,0.00400448900683217,0.000164837675382586
50,0.2,0.7,0.1,20.272721328402,18.8613630507028,2.00972421802873e-06,0.00401741965565648,0.000172864091087295
50,0.2,0.7,0.2,20.1125937839915,18.4982412451137,3.24583000744795e-06,0.0040267833192966,0.000179190394630552
50,0.2,0.9,0,22.7287304231013,20.8923871653539,2.43243796909591e-06,0.0039732115324807,0.000137930371865838
50,0.2,0.9,0.05,21.2735606675855,19.9120242339641,1.51792373557402e-06,0.00399299829611474,0.000157235693621072
50,0.2,0.9,0.1,20.9634563202739,19.6671660608525,1.2440176445096e-06,0.00399364589893432,0.000155918173497025
50,0.2,0.9,0.2,20.9612356464888,20.3236485491852,1.00523028452389e-06,0.0039847121376711,0.000156442297993826
50,0.2,1,0,22.3649729096868,21.5630352742546,1.6044924967489e-06,0.00397985885421503,0.000140359618337441
50,0.2,1,0.05,21.9223322033924,20.7836662368097,1.37031244275724e-06,0.00399203467363871,0.000146127061589142
