,NIND,ELITIST,PR_CROSS,PR_MUT,Av_Best,Peak_Best,Eff_1,Av_Best_unit,Eff_1_unit,M
19,50,0.05,0.5,0.2,0.2939882875754076,0.29851153780081985,0.0237246386237888,0.9219336125645718,0.9731956257087216,0.9475646191366467
20,50,0.05,0.7,0.0,0.27797754411465636,0.29851153780081985,0.0238864619956952,0.6012483851168392,0.9820088437439118,0.7916286144303755
21,50,0.05,0.7,0.05,0.2910790433971577,0.29851153780081985,0.0238414391165682,0.863663262203259,0.9795568094942003,0.9216100358487296
22,50,0.05,0.7,0.1,0.2932987305110393,0.29851153780081985,0.0238187890789672,0.9081222137018498,0.978323244048547,0.9432227288751984
23,50,0.05,0.7,0.2,0.2928766624899828,0.29851153780081985,0.0239726993763282,0.8996684539084514,0.9867055005330307,0.9431869772207411
24,50,0.05,0.9,0.0,0.28303926219399045,0.2956144304890036,0.0234983291426262,0.7026314481536501,0.9608703677597622,0.8317509079567061
25,50,0.05,0.9,0.05,0.2849145463144834,0.29851153780081985,0.0235001897665366,0.7401922220292423,0.9609717009850599,0.850581961507151
26,50,0.05,0.9,0.1,0.2813803260544136,0.29851153780081985,0.0234318103538302,0.6694039896945472,0.9572476241338599,0.8133258069142035
27,50,0.05,0.9,0.2,0.2761724213437679,0.29531947633404265,0.0233441506019999,0.5650928994098511,0.9524735022212479,0.7587832008155495
28,50,0.05,1.0,0.0,0.2760146027049621,0.2911927099898435,0.0233864050993112,0.5619318902908804,0.95477476497078,0.7583533276308302
29,50,0.05,1.0,0.05,0.2761228843585882,0.29143232696476623,0.0236707849858627,0.5641007044253794,0.9702626510250311,0.7671816777252052
30,50,0.05,1.0,0.1,0.27157082166112423,0.29034315710440467,0.0232769624778938,0.4729257215102459,0.9488143052823473,0.7108700133962966
31,50,0.05,1.0,0.2,0.2759440437594376,0.289610898411845,0.0231188685081242,0.5605186385234368,0.940204197797786,0.7503614181606113
32,50,0.1,0.5,0.0,0.26015819551324926,0.286091197146706,0.0231277310942737,0.24433792226288378,0.9406868716116549,0.5925123969372693
33,50,0.1,0.5,0.05,0.2873086965420945,0.29851153780081985,0.0235166281708555,0.7881455611210606,0.9618669687063189,0.8750062649136898
34,50,0.1,0.5,0.1,0.289289903351851,0.29851153780081985,0.0237055107960852,0.8278279005430395,0.9721538867182073,0.8999908936306233
