NIND,ELITIST,PR_CROSS,PR_MUT,LOCALLOOP,NVAR,Av_Best,Peak_Best,Fit_Var,Fit_var
150,0,0.5,0,0,0,22.2438160744622,21.5479277185141,0,0.161175664391399
150,0,0.5,0,1,0,12.5307465251845,12.1124362455906,0,0.0705443042207379
150,0,0.5,0.05,0,0,22.0720512211999,20.7499177499407,0,0.284431954176829
150,0,0.5,0.05,1,0,12.2231694503745,11.4688443840435,0,0.0886259670728039
150,0,0.5,0.2,0,0,22.4176289665616,21.6055418458634,0,0.134531827932797
150,0,0.5,0.2,1,0,12.3953351270895,11.7682938097825,0,0.10015441352405
150,0,0.9,0,0,0,24.5700085600324,23.7972279022647,0,0.0604050221798764
150,0,0.9,0,1,0,13.7759701372963,13.344791045862,0,0.0610228716341844
150,0,0.9,0.05,0,0,24.5031681912107,23.5234138424125,0,0.19536377055126
150,0,0.9,0.05,1,0,13.773851268488,12.7423548228169,0,0.106247417982163
150,0,0.9,0.2,0,0,24.6246685921505,24.1430979097586,0,0.0418853490767184
150,0,0.9,0.2,1,0,13.9215204636569,13.3371237986139,0,0.0777571028510575
150,0,1,0,0,0,24.7614593052746,23.5774247034275,0,0.173767222961343
150,0,1,0,1,0,15.1303295625888,14.0514751069545,0,0.215691713350846
150,0,1,0.05,0,0,24.8413378069476,24.2228155217835,0,0.111604566991262
150,0,1,0.05,1,0,15.1634356438496,14.131441796614,0,0.230119989738352
150,0,1,0.2,0,0,24.8249092646064,24.3070219065819,0,0.0778178071215509
150,0,1,0.2,1,0,15.0786445839515,14.4261452012761,0,0.115210208649815
150,0.05,0.5,0,0,0,21.5920925160919,19.9131945591909,0,0.94548184003201
150,0.05,0.5,0,1,0,12.897623111112,11.3033756426363,0,0.33941623490985
150,0.05,0.5,0.05,0,0,19.1094720173682,18.0984753195165,0,0.28304696516682
150,0.05,0.5,0.05,1,0,10.6886305848021,10.0209263967601,0,0.178622773354878
150,0.05,0.5,0.2,0,0,19.2354561160079,18.2298092070744,0,0.23084827986105
150,0.05,0.5,0.2,1,0,10.5635748911825,9.68368888825984,0,0.244344042992898
150,0.05,0.9,0,0,0,22.8701584749297,22.1908005655037,0,0.115069036610644
150,0.05,0.9,0,1,0,13.2253940861239,12.6922338057065,0,0.0954278711877213
150,0.05,0.9,0.05,0,0,22.5000901488629,21.2517180498053,0,0.319241770606063
150,0.05,0.9,0.05,1,0,13.0078322482692,11.3425298624672,0,0.343234001515287
150,0.05,0.9,0.2,0,0,21.9427971724307,20.884980429746,0,0.226647288768937
150,0.05,0.9,0.2,1,0,12.6301521483967,11.9580913200087,0,0.145530729788481
150,0.05,1,0,0,0,23.0782380833477,22.3291111773427,0,0.155685838618879
150,0.05,1,0,1,0,13.9383976655402,12.893685893336,0,0.346602382850984
150,0.05,1,0.05,0,0,22.8206826974538,22.1924887890413,0,0.13838551840881
150,0.05,1,0.05,1,0,13.8365689543415,12.2515130972019,0,0.344743150695875
150,0.05,1,0.2,0,0,22.7951524060164,21.6488920085242,0,0.202131164689745
150,0.05,1,0.2,1,0,13.9638348207663,12.959110746483,0,0.20244154621792
150,0.2,0.5,0,0,0,22.2241592786984,19.6319500103955,0,1.12397280269429
150,0.2,0.5,0,1,0,13.3831750141524,12.4657609389967,0,0.214418402314234
150,0.2,0.5,0.05,0,0,18.7613657471146,17.9590495367305,0,0.325806215269056
150,0.2,0.5,0.05,1,0,11.2793503011458,10.4163267503199,0,0.28875941509295
150,0.2,0.5,0.2,0,0,18.8139308528393,18.1585893678719,0,0.138036468958933
150,0.2,0.5,0.2,1,0,10.6953749575523,9.78066901856888,0,0.218593474602684
150,0.2,0.9,0,0,0,21.0534626271868,19.9249812669502,0,0.469493343533125
150,0.2,0.9,0,1,0,13.2990107559327,11.909873589273,0,0.311353883880071
150,0.2,0.9,0.05,0,0,20.2461909760186,19.3011194381762,0,0.152336503708064
150,0.2,0.9,0.05,1,0,12.2424392112115,11.199620238827,0,0.525172635230003
150,0.2,0.9,0.2,0,0,20.0356949019056,19.3040547905054,0,0.187836233250091
150,0.2,0.9,0.2,1,0,12.0351798343991,10.6523648195718,0,0.27047063373306
150,0.2,1,0,0,0,21.2109938044108,20.1680437234099,0,0.319325797983198
150,0.2,1,0,1,0,13.3684864192625,12.4381214377583,0,0.363486560581481
150,0.2,1,0.05,0,0,21.2873859758121,20.4591779993032,0,0.227767797133334
150,0.2,1,0.05,1,0,12.6970755316989,11.8273638013839,0,0.292316621575696
150,0.2,1,0.2,0,0,21.3044483993551,20.9307196383025,0,0.0848879702293405
150,0.2,1,0.2,1,0,12.7571392412935,11.7947150850348,0,0.31622579999993
